Size,Rooms,Age,Price
1360,2,9,144499
1794,1,6,189688
1630,5,16,189531
1595,3,29,156490
2138,4,3,246892
2669,3,20,271880
966,3,36,90775
1738,1,19,174702
830,3,26,83384
1982,5,3,229127
2635,3,19,271694
630,1,20,65319
2185,5,32,233157
1269,2,7,138116
2891,3,33,288554
2015,1,39,187009
2933,2,18,294469
1715,2,1,191142
1455,4,11,163595
2824,5,28,292733
1684,3,25,172263
959,1,23,100413
521,4,31,59755
2800,5,30,290014
1247,4,35,132793
974,5,7,123486
1582,5,16,178409
2547,3,26,261706
1475,5,2,176054
2306,4,1,265529
689,5,12,90709
1062,3,5,134449
2399,3,37,231084
1767,4,32,187467
2028,2,9,218696
1146,2,35,109160
2568,5,19,284133
2714,1,16,275943
1797,5,3,214506
2935,4,20,308096
1100,4,24,121601
2863,4,33,287706
2561,4,24,262437
741,4,11,96286
2541,3,8,269541
1863,2,36,185708
2639,4,38,269147
1890,1,20,191716
1978,1,35,186771
1275,1,25,123125
534,1,35,38350
2753,3,25,283292
2455,1,29,244623
2085,4,18,223880
1521,5,18,180007
1629,1,2,173668
2000,3,35,204039
1202,3,16,134055
2949,1,36,284273
2079,5,33,215995
661,1,4,83793
701,3,33,72863
2481,2,14,257902
1495,4,21,164314
2817,3,20,295058
1315,1,8,148503
955,4,7,128021
1775,1,3,191019
1516,1,17,158966
2843,2,33,283074
837,4,12,99953
1378,4,22,149346
1576,2,22,166928
1291,3,30,128869
2764,1,38,256574
1263,5,38,137353
2735,1,8,278248
879,1,27,82593
992,3,27,104057
1680,1,34,165705
2562,2,21,261909
564,2,30,62040
1867,4,33,195207
1652,5,28,177577
2527,1,33,249425
1995,1,5,209354
1662,3,19,184365
2022,2,4,216491
891,5,35,101952
2198,4,17,245799
918,2,28,87524
2836,4,30,290291
878,3,29,87651
2296,3,6,244804
2778,1,35,265022
2588,5,37,264515
2682,4,24,278869
700,2,29,62676
2363,3,31,240683
1279,1,35,116927
